Year,LocationAbbr,LocationDesc,Question,DataValue,Gender
2013,AL,Alabama,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,79.4,Female
2015,AL,Alabama,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,78.6,Female
2011,AL,Alabama,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,78.1,Female
2011,AL,Alabama,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,77.8,Overall
2013,AL,Alabama,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,77.6,Overall
2011,AL,Alabama,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,77.5,Male
2015,AL,Alabama,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,77.3,Overall
2015,AL,Alabama,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,75.8,Male
2013,AL,Alabama,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,75.6,Male
2011,AL,Alabama,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,75.3,Male
2011,AL,Alabama,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,74,Overall
2011,AL,Alabama,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,72.9,Female
2013,AL,Alabama,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,70.1,Female
2015,AL,Alabama,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,68.7,Male
2015,AL,Alabama,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,68.2,Overall
2015,AL,Alabama,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.9,Female
2013,AL,Alabama,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,67.8,Overall
2013,AL,Alabama,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.3,Male
2013,AK,Alaska,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,82.3,Male
2011,AK,Alaska,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,77.2,Female
2013,AK,Alaska,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,75.9,Overall
2013,AK,Alaska,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,74.2,Male
2015,AK,Alaska,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,71.1,Male
2011,AK,Alaska,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,70.3,Overall
2013,AK,Alaska,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,69.5,Overall
2013,AK,Alaska,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,68.2,Female
2011,AK,Alaska,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,66.2,Male
2015,AK,Alaska,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,63.9,Overall
2013,AK,Alaska,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,63.9,Female
